from	to	combined_score	label
Gene_23411	Gene_10014	720	True
Gene_2648	Gene_10014	957	True
Gene_5603	Gene_1845	716	True
Gene_6300	Gene_1845	727	True
Gene_5594	Gene_1845	972	True
Gene_3675	Gene_7448	941	True
Gene_3696	Gene_7448	949	True
Gene_5054	Gene_7448	998	True
Gene_727	Gene_7448	934	True
Gene_6376	Gene_6372	953	True
Gene_623	Gene_6372	906	True
Gene_727	Gene_6372	901	True
Gene_6347	Gene_6372	721	True
Gene_6346	Gene_6372	946	True
Gene_6357	Gene_6372	953	True
Gene_623	Gene_2798	900	True
Gene_5020	Gene_2798	925	True
Gene_7132	Gene_4790	952	True
Gene_602	Gene_4790	957	True
Gene_4804	Gene_4790	905	True
Gene_7414	Gene_4790	908	True
Gene_23411	Gene_4790	915	True
Gene_5594	Gene_4790	954	True
Gene_5684	Gene_4790	929	True
Gene_4792	Gene_4790	999	True
Gene_1522	Gene_4790	906	True
Gene_5716	Gene_4790	937	True
Gene_10562	Gene_4790	909	True
Gene_5971	Gene_4790	995	True
Gene_56729	Gene_4790	900	True
Gene_2057	Gene_4790	918	True
Gene_6347	Gene_4790	899	True
Gene_30009	Gene_3558	891	True
Gene_5594	Gene_3558	954	True
Gene_3560	Gene_3558	996	True
Gene_3002	Gene_3558	888	True
Gene_2057	Gene_3558	748	True
Gene_1440	Gene_3558	796	True
Gene_6198	Gene_3558	932	True
Gene_6347	Gene_3558	795	True
Gene_4353	Gene_6688	776	True
Gene_6300	Gene_595	917	True
Gene_5594	Gene_595	887	True
Gene_5684	Gene_595	901	True
Gene_4605	Gene_595	843	True
Gene_5716	Gene_595	929	True
Gene_4313	Gene_595	709	True
Gene_27161	Gene_595	932	True
Gene_6422	Gene_595	733	True
Gene_3082	Gene_595	715	True
Gene_6198	Gene_595	794	True
Gene_2648	Gene_595	922	True
Gene_5008	Gene_3587	757	True
Gene_3558	Gene_3587	812	True
Gene_4804	Gene_4254	718	True
Gene_7066	Gene_4254	893	True
Gene_990	Gene_4254	902	True
Gene_2057	Gene_4254	970	True
Gene_1440	Gene_4254	836	True
Gene_6198	Gene_4254	923	True
Gene_4792	Gene_51561	907	True
Gene_4790	Gene_51561	917	True
Gene_3587	Gene_51561	717	True
Gene_5684	Gene_2735	904	True
Gene_5716	Gene_2735	910	True
Gene_6198	Gene_2735	805	True
Gene_595	Gene_2735	927	True
Gene_2249	Gene_2251	906	True
Gene_27006	Gene_2251	913	True
Gene_5594	Gene_2251	935	True
Gene_4627	Gene_4633	903	True
Gene_990	Gene_1027	940	True
Gene_4627	Gene_1027	903	True
Gene_5684	Gene_1027	902	True
Gene_6790	Gene_1027	909	True
Gene_5716	Gene_1027	908	True
Gene_7249	Gene_1027	833	True
Gene_7448	Gene_1027	906	True
Gene_595	Gene_1027	996	True
Gene_7132	Gene_4055	780	True
Gene_5684	Gene_4055	900	True
Gene_5716	Gene_4055	900	True
Gene_4804	Gene_397	945	True
Gene_6376	Gene_3458	726	True
Gene_30009	Gene_3458	901	True
Gene_3560	Gene_3458	821	True
Gene_3002	Gene_3458	816	True
Gene_7040	Gene_3458	815	True
Gene_1440	Gene_3458	735	True
Gene_6347	Gene_3458	798	True
Gene_3558	Gene_3458	938	True
Gene_3587	Gene_3458	803	True
Gene_79019	Gene_57122	907	True
Gene_27161	Gene_57122	901	True
Gene_708	Gene_57122	829	True
Gene_23411	Gene_2597	847	True
Gene_5594	Gene_2597	868	True
Gene_328	Gene_2597	703	True
Gene_1666	Gene_2597	701	True
Gene_6198	Gene_2597	717	True
Gene_6347	Gene_2597	710	True
Gene_595	Gene_2597	769	True
Gene_1080	Gene_5564	806	True
Gene_7249	Gene_5564	951	True
Gene_9545	Gene_11021	974	True
Gene_2249	Gene_26127	900	True
Gene_2251	Gene_26127	900	True
Gene_2067	Gene_2178	942	True
Gene_5982	Gene_2178	931	True
Gene_5898	Gene_1432	919	True
Gene_5603	Gene_1432	912	True
Gene_6300	Gene_1432	916	True
Gene_5594	Gene_1432	889	True
Gene_3162	Gene_1432	972	True
Gene_3560	Gene_1432	900	True
Gene_4792	Gene_1432	977	True
Gene_7249	Gene_1432	929	True
Gene_8767	Gene_1432	938	True
Gene_1666	Gene_1432	717	True
Gene_4741	Gene_1432	819	True
Gene_2057	Gene_1432	916	True
Gene_10392	Gene_1432	935	True
Gene_1845	Gene_1432	739	True
Gene_4790	Gene_1432	948	True
Gene_3558	Gene_1432	941	True
Gene_595	Gene_1432	742	True
Gene_8664	Gene_705	831	True
Gene_1655	Gene_705	729	True
Gene_3675	Gene_3910	950	True
Gene_22795	Gene_3910	955	True
Gene_3082	Gene_3910	908	True
Gene_3912	Gene_3910	955	True
Gene_3696	Gene_3910	731	True
Gene_3162	Gene_23438	751	True
Gene_4313	Gene_1839	944	True
Gene_11140	Gene_1839	900	True
Gene_5118	Gene_4015	941	True
Gene_1277	Gene_4015	820	True
Gene_1634	Gene_6678	904	True
Gene_7076	Gene_6678	947	True
Gene_4313	Gene_6678	945	True
Gene_7040	Gene_6678	963	True
Gene_3082	Gene_6678	934	True
Gene_5054	Gene_6678	934	True
Gene_1277	Gene_6678	986	True
Gene_3381	Gene_6678	816	True
Gene_4792	Gene_3593	907	True
Gene_5971	Gene_3593	900	True
Gene_4790	Gene_3593	919	True
